index,transliteration,word
G0001,"A, alpha","Α, ἄλφα"
G0002,Aaron,Ἀαρών
G0003,Abaddon,Ἀβαδδών
G0004,abares,ἀβαρής
G0005,Abba,Ἀββᾶ
G0006,Abel,Ἄβελ
G0007,Abia,Ἀβιά
G0008,Abiathar,Ἀβιάθαρ
G0009,Abilene,Ἀβιληνή
G0010,Abioud,Ἀβιούδ
G0011,Abraam,Ἀβραάμ
G0012,abussos,ἄβυσσος
G0013,Agabos,Ἄγαβος
G0014,agathoergeo,ἀγαθοεργέω
G0015,agathopoieo,ἀγαθοποιέω
G0016,agathopoiia,ἀγαθοποιΐα
G0017,agathopoios,ἀγαθοποιός
G0018,agathos,ἀγαθός
G0019,agathosune,ἀγαθωσύνη
G0020,agalliasis,ἀγαλλίασις
G0021,agalliao,ἀγαλλιάω
G0022,agamos,ἄγαμος
G0023,aganakteo,ἀγανακτέω
G0024,aganaktesis,ἀγανάκτησις
G0025,agapao,ἀγαπάω
G0026,agape,ἀγάπη
G0027,agapetos,ἀγαπητός
G0028,Agar,Ἄγαρ
G0029,aggareuo,ἀγγαρεύω
G0031,aggelia,ἀγγελία
G0032,aggelos,ἄγγελος
G0032a,aggello,ἀγγέλλω
G0033,age,ἄγε
G0033a,aggos,ἄγγος
G0034,agele,ἀγέλη
G0035,agenealogetos,ἀγενεαλόγητος
G0036,agenes,ἀγενής
G0037,hagiazo,ἁγιάζω
G0038,hagiasmos,ἁγιασμός
G0040,hagios,ἅγιος
G0041,hagiotes,ἁγιότης
G0042,hagiosune,ἁγιωσύνη
G0043,agkale,ἀγκάλη
G0044,agkistron,ἄγκιστρον
G0045,agkura,ἄγκυρα
G0046,agnaphos,ἄγναφος
G0047,hagneia,ἁγνεία
G0048,hagnizo,ἁγνίζω
G0049,hagnismos,ἁγνισμός
G0050,agnoeo,ἀγνοέω
G0051,agnoema,ἀγνόημα
G0052,agnoia,ἄγνοια
G0053,hagnos,ἁγνός
G0054,hagnotes,ἁγνότης
G0055,hagnos,ἁγνῶς
G0056,agnosia,ἀγνωσία
G0057,agnostos,ἄγνωστος
G0058,agora,ἀγορά
G0059,agorazo,ἀγοράζω
G0060,agoraios,ἀγοραῖος
G0061,agra,ἄγρα
G0062,agrammatos,ἀγράμματος
G0063,agrauleo,ἀγραυλέω
G0064,agreuo,ἀγρεύω
G0065,agrielaios,ἀγριέλαιος
G0066,agrios,ἄγριος
G0067,Agrippas,Ἀγρίππας
G0068,agros,ἀγρός
G0069,agrupneo,ἀγρυπνέω
G0070,agrupnia,ἀγρυπνία
G0071,ago,ἄγω
G0072,agoge,ἀγωγή
G0073,agon,ἀγών
G0074,agonia,ἀγωνία
G0075,agonizomai,ἀγωνίζομαι
G0076,Adam,Ἀδάμ
G0077,adapanos,ἀδάπανος
G0078,Addi,Ἀδδί
G0079,adelphe,ἀδελφή
G0080,adelphos,ἀδελφός
G0081,adelphotes,ἀδελφότης
G0082,adelos,ἄδηλος
G0083,adelotes,ἀδηλότης
G0084,adelos,ἀδήλως
G0085,ademoneo,ἀδημονέω
G0086,hades,ἅ́δης
G0087,adiakritos,ἀδιάκριτος
G0088,adialeiptos,ἀδιάλειπτος
G0089,adialeiptos,ἀδιαλείπτως
G0091,adikeo,ἀδικέω
G0092,adikema,ἀδίκημα
G0093,adikia,ἀδικία
G0094,adikos,ἄδικος
G0095,adikos,ἀδίκως
G0095a,Admin,Ἀδμίν
G0096,adokimos,ἀδόκιμος
G0097,adolos,ἄδολος
G0098,Adramuttenos,Ἀδραμυττηνός
G0099,Adrias,Ἀδρίας
G0100,hadrotes,ἁδρότης
G0101,adunateo,ἀδυνατέω
G0102,adunatos,ἀδύνατος
G0103,ado,ἄ́δω
G0104,aei,ἀεί
G0105,aetos,ἀετός
G0106,azumos,ἄζυμος
G0107,Azor,Ἀζώρ
G0108,Azotos,Ἄζωτος
G0109,aer,ἀήρ
G0110,athanasia,ἀθανασία
G0111,athemitos,ἀθέμιτος
G0112,atheos,ἄθεος
G0113,athesmos,ἄθεσμος
G0114,atheteo,ἀθετέω
G0115,athetesis,ἀθέτησις
G0116,Athenai,Ἀθῆναι
G0117,Athenaios,Ἀθηναῖος
G0118,athleo,ἀθλέω
G0119,athlesis,ἄθλησις
G0119a,athroizo,ἀθροίζω
G0120,athumeo,ἀθυμέω
G0121,athoos,ἄθωος
G0122,aigeios,αἴγειος
G0123,aigialos,αἰγιαλός
G0124,Aiguptios,Αἰγύπτιος
G0125,Aiguptos,Αἴγυπτος
G0126,aidios,ἀΐδιος
G0127,aidos,αἰδώς
G0128,Aithiops,Αἰθίοψ
G0129,haima,αἷμα
G0130,haimatekchusia,αἱματεκχυσία
G0131,haimorrheo,αἱμοῤῥέω
G0132,Aineas,Αἰνέας
G0133,ainesis,αἴνεσις
G0134,aineo,αἰνέω
G0135,ainigma,αἴνιγμα
G0136,ainos,αὶνος
G0137,Ainon,Αἰνών
G0138,haireomai,αἱρέομαι
G0139,hairesis,αἵρεσις
G0140,hairetizo,αἱρετίζω
G0141,hairetikos,αἱρετικός
G0142,airo,αἴρω
G0143,aisthanomai,αἰσθάνομαι
G0144,aisthesis,αἴσθησις
G0146,aischrokerdes,αἰσχροκερδής
G0147,aischrokerdos,αἰσχροκερδῶς
G0148,aischrologia,αἰσχρολογία
G0150,aischros,αἰσχρός
G0151,aischrotes,αἰσχρότης
G0152,aischune,αἰσχύνη
G0153,aischunomai,αἰσχύνομαι
G0154,aiteo,αἰτέω
G0155,aitema,αἴτημα
G0156,aitia,αἰτία
G0157,aitiama,αἰτίαμα
G0159,aitios,αἴτιος
G0160,aiphnidios,αἰφνίδιος
G0161,aichmalosia,αἰχμαλωσία
G0162,aichmaloteuo,αἰχμαλωτεύω
G0163,aichmalotizo,αἰχμαλωτίζω
G0164,aichmalotos,αἰχμαλωτός
G0165,aion,αἰών
G0166,aionios,αἰώνιος
G0167,akatharsia,ἀκαθαρσία
G0168,akathartes,ἀκαθάρτης
G0169,akathartos,ἀκάθαρτος
G0170,akaireomai,ἀκαιρέομαι
G0171,akairos,ἀκαίρως
G0172,akakos,ἄκακος
G0173,akantha,ἄκανθα
G0174,akanthinos,ἀκάνθινος
G0175,akarpos,ἄκαρπος
G0176,akatagnostos,ἀκατάγνωστος
G0177,akatakaluptos,ἀκατακάλυπτος
G0178,akatakritos,ἀκατάκριτος
G0179,akatalutos,ἀκατάλυτος
G0180,akatapaustos,ἀκατάπαυστος
G0181,akatastasia,ἀκαταστασία
G0182,akatastatos,ἀκατάστατος
G0184,"Akeldama, Hakeldamach","Ἀκελδαμά, Ἁκελδαμάχ"
G0185,akeraios,ἀκέραιος
G0186,aklines,ἀκλινής
G0187,akmazo,ἀκμάζω
G0188,akmen,ἀκμήν
G0189,akoe,ἀκοή
G0190,akoloutheo,ἀκολουθέω
G0191,akouo,ἀκούω
G0192,akrasia,ἀκρασία
G0193,akrates,ἀκράτης
G0194,akratos,ἄκρατος
G0195,akribeia,ἀκρίβεια
G0196,akribestatos,ἀκριβέστατος
G0198,akriboo,ἀκριβόω
G0199,akribos,ἀκριβῶς
G0200,akris,ἀκρίς
G0201,akroaterion,ἀκροατήριον
G0202,akroates,ἀκροατής
G0203,akrobustia,ἀκροβυστία
G0204,akrogoniaios,ἀκρογωνιαῖος
G0205,akrothinion,ἀκροθίνιον
G0206,akron,ἄκρον
G0207,Akulas,Ἀκύλας
G0208,akuroo,ἀκυρόω
G0209,akolutos,ἀκωλύτως
G0210,akon,ἄκων
G0211,alabastron,ἀλάβαστρον
G0212,alazoneia,ἀλαζονεία
G0213,alazon,ἀλαζών
G0214,alalazo,ἀλαλάζω
G0215,alaletos,ἀλάλητος
G0216,alalos,ἄλαλος
G0217,halas,ἅλας
G0218,aleipho,ἀλείφω
G0219,alektorophonia,ἀλεκτοροφωνία
G0220,alektor,ἀλέκτωρ
G0221,Alexandreus,Ἀλεξανδρεύς
G0222,Alexandrinos,Ἀλεξανδρίνος
G0223,Alexandros,Ἀλέξανδρος
G0224,aleuron,ἄλευρον
G0225,aletheia,ἀλήθεια
G0226,aletheuo,ἀληθεύω
G0227,alethes,ἀληθής
G0228,alethinos,ἀληθινός
G0229,aletho,ἀλήθω
G0230,alethos,ἀληθῶς
G0231,halieus,ἁλιεύς
G0232,halieuo,ἁλιεύω
G0233,halizo,ἁλίζω
G0234,alisgema,ἀλίσγεμα
G0235,alla,ἀλλά
G0236,allasso,ἀλλάσσω
G0237,allachothen,ἀλλαχόθεν
G0237a,allachou,ἀλλαχοῦ
G0238,allegoreo,ἀλληγορέω
G0239,allelouia,ἀλληλουϊα
G0240,allelon,ἀλλήλων
G0241,allogenes,ἀλλογενής
G0242,hallomai,ἅλλομαι
G0243,allos,ἄλλος
G0244,allotriepiskopos,ἀλλοτριεπίσκοπος
G0245,allotrios,ἀλλότριος
G0246,allophulos,ἀλλόφυλος
G0247,allos,ἄλλως
G0248,aloao,ἀλοάω
G0249,alogos,ἄλογος
G0250,aloe,ἀλοή
G0252,halukos,ἁλυκός
G0253,alupoteros,ἀλυπότερος
G0254,halusis,ἅλυσις
G0255,alusiteles,ἀλυσιτελής
G0256,Alphaios,Ἀλφαῖος
G0257,halon,ἅλων
G0258,alopex,ἀλώπηξ
G0259,halosis,ἅλωσις
G0260,hama,ἅμα
G0261,amathes,ἀμαθής
G0262,amarantinos,ἀμαράντινος
G0263,amarantos,ἀμάραντος
G0264,hamartano,ἁμαρτάνω
G0265,hamartema,ἁμάρτημα
G0266,hamartia,ἁμαρτία
G0267,amarturos,ἀμάρτυρος
G0268,hamartolos,ἁμαρτωλός
G0269,amachos,ἄμαχος
G0270,amao,ἀμάω
G0271,amethustos,ἀμέθυστος
G0272,ameleo,ἀμελέω
G0273,amemptos,ἄμεμπτος
G0274,amemptos,ἀμέμπτως
G0275,amerimnos,ἀμέριμνος
G0276,ametathetos,ἀμετάθετος
G0277,ametakinetos,ἀμετακίνητος
G0278,ametameletos,ἀμεταμέλητος
G0279,ametanoetos,ἀμετανόητος
G0280,ametros,ἄμετρος
G0281,amen,ἀμήν
G0282,ametor,ἀμήτωρ
G0283,amiantos,ἀμίαντος
G0284,Aminadab,Ἀμιναδάβ
G0285,ammos,ἄμμος
G0286,amnos,ἀμνός
