index,transliteration,word
H0001,’av,אָב
H0002,’av,אַב
H0003,’ev,אֵב
H0004,’ev,אֵב
H0005,’avagta’,אֲבַגְתָא
H0006,’avad,אָבַד
H0007,’avad,אֲבַד
H0008,’oved,אֹבֵד
H0009,’avedah,אֲבֵדָה
H0010,’avadoh,אֲבַדֹּה
H0011,’avaddon,אֲבַדּוֹן
H0012,’avdan,אַבְדָן
H0013,’ovdan,אָבְדָן
H0014,’avah,אָבָה
H0015,’aveh,אָבֶה
H0016,’eveh,אֵבֶה
H0017,’avoy,אֲבוֹי
H0018,’evus,אֵבוּס
H0019,’ivchah,אִבְחָה
H0020,’avatiyach,אֲבַטִּיחַ
H0021,’avi,אֲבִי
H0022,’avi’el,אֲבִיאֵל
H0023,’avi’asaf,אֲבִיאָסָף
H0024,’aviv,אָבִיב
H0026,"’avigayil, ’avigal","אֲבִיגַיִל, אֲבִיגַל"
H0027,’avidan,אֲבִידָן
H0028,’avida‘,אֲבִידָע
H0029,"’aviyah, ’aviyahu","אֲבִיָּה, אֲבִיָּהוּ"
H0030,’avihu’,אֲבִיהוּא
H0031,’avihud,אֲבִיהוּד
H0032,’avichayil,אֲבִיחַיִל
H0033,’avi ha‘ezri,אֲבִי הָעֶזְרִי
H0034,’evyon,אֶבְיוֹן
H0035,’aviyyonah,אֲבִיּוֹנָה
H0036,’avituv,אֲבִיטוּב
H0037,’avital,אֲבִיטַל
H0038,’aviyam,אֲבִיָּם
H0039,’avima’el,אֲבִימָאֵל
H0040,’avimelekh,אֲבִימֶלֶךְ
H0041,’avinadav,אֲבִינָדָב
H0042,’avin‘am,אֲבִי֑נעַם
H0043,’evyasaf,אֶבְיָסָף
H0044,’avi‘ezer,אֲבִיעֶזֶר
H0045,’avi-‘alvon,אֲבִי־עַלְבוֹן
H0046,’avir,אָבִיר
H0047,’aviyr,אַבִּיר
H0048,’aviram,אֲבִירָם
H0049,’avishag,אֲבִישַׁג
H0050,’avishua‘,אֲבִישׁוּעַ
H0051,’avishur,אֲבִישׁוּר
H0052,"’avisha, ’avshai","אֲבִישַׁי, אַבְשַׁי"
H0053,"’avishalom, ’avshalom","אֲבִישָׁלוֹם, אַבְשָׁלוֹם"
H0054,’evyatar,אֶבְיָתָר
H0055,’avakh,אָבַךְ
H0056,’aval,אָבַל
H0057,’avel,אָבֵל
H0058,’avel,אָבֵל
H0059,’avel,אָבֵל
H0060,’evel,אֵבֶל
H0061,’aval,אֲבָל
H0062,’avel beyt-ma‘akhah,אָבֵל בֵּית־מֲעַכָה
H0063,’avel hashitiym,אָבֵל הַשִּׁטִּים
H0064,’avel keramim,אָבֵל כְּרָמִים
H0065,’avel mecholah,אָבֵל מְחוֹלָה
H0066,’avel mayim,אַבֵל מַיִם
H0067,’avel mitzrayim,אָבֵל מִצְרַיִם
H0068,’even,אֶבֶן
H0069,’even,אֶבֶן
H0070,’oven,אֹבֶן
H0071,’avanah,אֲבָנָה
H0072,’even ha‘ezer,אֶבֶן הָעֵזֶר
H0073,’avnet,אַבְנֵט
H0074,’avner,אַבְנֵר
H0075,’avas,אָבַס
H0076,’ava‘vu‘ah,אֲבַעְבֻּעָה
H0077,’evetz,אֶבֶץ
H0078,’ivtzan,אִבְצָן
H0079,’avaq,אָבַק
H0080,’avaq,אָבָק
H0081,’avaqah,אֲבָקָה
H0082,’avar,אָבַר
H0083,’ever,אֵבֶר
H0084,’evrah,אֶבְרָה
H0085,’avraham,אַבְרָהָם
H0086,’avrekh,אַבְרֵךְ
H0087,’avram,אַבְרָם
H0088,’ovot,אֹבֹת
H0089,’age’,אָגֵא
H0090,"’agag, ’agag","אֲגַג, אֲגָג"
H0091,’agagi,אֲגָגִי
H0092,’agudah,אֲגֻדָּה
H0093,’egoz,אֱגוֹז
H0094,’agur,אָגוּר
H0095,’agorah,אֲגוֹרָה
H0096,’egel,אֶגֶל
H0097,’eglayim,אֶגְלַיִם
H0098,’agam,אֲגַם
H0099,’agem,אָגֵם
H0100,’agmon,אַגְמוֹן
H0101,’agan,אַגָּן
H0102,’agaf,אַגָּף
H0103,’agar,אָגַר
H0104,’igra’,אִגְּרָא
H0105,’agartal,אֲגַרְטָל
H0106,’egrof,אֶגְרֹף
H0107,’igeret,אִגֶּרֶת
H0108,’ed,אֵד
H0109,’adav,אָדַב
H0110,’adve’el,אַדְבְּאֵל
H0111,’adad,אֲדַד
H0112,’iddo,אִדּוֹ
H0113,"’adon, ’adon","אָדוֹן, אָדֹן"
H0114,’addon,אַדּוֹן
H0115,’adorayim,אֲדוֹרַיִם
H0116,’edayin,אֱדַיִן
H0117,’adiyr,אַדִּיר
H0118,’adalya’,אֲדַלְיָא
H0119,’adam,אָדַם
H0120,’adam,אָדָם
H0121,’adam,אָדָם
H0122,’adom,אָדֹם
H0123,"’edom, ’edom","אֱדֹם, אֱדוֹם"
H0124,’odem,אֹדֶם
H0125,’adamdam,אֲדַמְדָּם
H0126,’admah,אַדְמָה
H0127,’adamah,אֲדָמָה
H0128,’adamah,אֲדָמָה
H0129,’adami,אֲדָמִי
H0130,"’edomi, ’edomi","אֱדֹמִי, אֱדוֹמִי"
H0131,’adumiym,אֲדֻמִּים
H0132,"’admoni, ’admoni","אַדְמֹנִי, אַדְמוֹנִי"
H0133,’admata’,אַדְמָתָא
H0134,’eden,אֶדֶן
H0135,’adan,אַדָּן
H0136,’adonai,אֲדֹנָי
H0137,’adoni-vezeq,אֲדֹנִי־בֶזֶק
H0138,"’adoniyah, ’adoniyahu","אֲדֹנִיָּה, אֲדֹנִיָּהוּ"
H0139,’adoni-tzedeq,אֲדֹנִי־צֶדֶק
H0140,’adoniqam,אֲדֹנִיקָם
H0141,’adoniram,אֲדֹנִירָם
H0142,’adar,אָדַר
H0143,’adar,אֲדָר
H0144,’adar,אֲדָר
H0145,’eder,אֶדֶר
H0146,’adar,אַדָּר
H0147,’idar,אִדַּר
H0148,’adargazer,אֲדַרְגָּזֵר
H0149,’adrazda’,אַדְרַזְדָּא
H0150,’adarkhon,אֲדַרְכֹּן
H0151,’adoram,אֲדֹרָם
H0152,’adramelekh,אַדְרַמֶּלֶךְ
H0153,’edra‘,אֶדְרָע
H0154,’edre‘i,אֶדְרֶעִי
H0155,’aderet,אַדֶּרֶת
H0156,’adash,אָדַשׁ
H0157,"’ahav, ’ahev","אָהַב, אָהֵב"
H0158,’ahav,אַהַב
H0159,’ohav,אֹהַב
H0160,’ahavah,אַהֲבָה
H0161,’ohad,אֹהַד
H0162,’ahah,אֲהָהּ
H0163,’ahawa’,אַהֲוָא
H0164,’ehud,אֵהוּד
H0165,’ehi,אֱהִי
H0166,’ahal,אָהַל
H0167,’ahal,אָהַל
H0168,’ohel,אֹהֶל
H0169,’ohel,אֹהֶל
H0170,"’ahalah, ’ahalah","אָהֲלָה, אָהֲלָהּ"
H0171,’ahali’av,אָהֲלִיאָב
H0172,"’ahalivah, ’ahalivah","אָהֲלִיבָה, אָהֲלִיבָהּ"
H0173,’ahalivamah,אָהֲלִיבָמָה
H0174,"’ahalim, ’ahalot","אֲהָלִים, אֲהָלוֹת"
H0175,’aharon,אַהֲרוֹן
H0176,"’o, ’aw","אוֹ, אַו"
H0177,’u’el,אוּאֵל
H0178,’ov,אוֹב
H0179,’ovil,אוֹבִיל
H0180,"’uval, ’uval","אוּבָל, אֻבָל"
H0181,’ud,אוּד
H0182,"’odot, ’odot","אוֹדוֹת, אֹדוֹת"
H0183,’awah,אָוָה
H0184,’awah,אָוָה
H0185,’awwa,אַוָּה
H0186,’uzai,אוּזַי
H0187,’uzal,אוּזָל
H0188,’oy,אוֹי
H0189,’ewi,אֱוִי
H0190,’oyah,אוֹיָה
H0191,’ewil,אֱוִיל
H0192,’ewil merodakh,אֱוִיל מְרֹדַךְ
H0193,’ul,אוּל
H0194,"’ula, ’ulai","אוּלַי, אֻלַי"
H0195,’ulai,אוּלַי
H0196,’ewili,אֱוִלִי
H0197,"’ulam, ’ulam","אוּלָם, אֻלָם"
H0198,’ulam,אוּלָם
H0199,’ulam,אוּלָם
H0200,’ieewwlet,אִֶֶוּלֶת
H0201,’omar,אוֹמָר
H0202,’on,אוֹן
H0203,’on,אוֹן
H0204,"’on, ’on","אוֹן, אֹן"
H0205,’aeewn,אֶֶָון
H0207,"’ono, ’ono","אוֹנוֹ, אֹנוֹ"
H0208,’onam,אוֹנָם
H0209,’onan,אוֹנָן
H0210,’ufaz,אוּפָז
H0211,"’ofir, ’ofir, ’ofir","אוֹפִיר, אֹפִיר, אוֹפִר"
H0212,"’ofan, ’ofan","אוֹפָן, אֹפָן"
H0213,’utz,אוּץ
H0214,’otzar,אוֹצָר
H0215,’or,אוֹר
H0216,’or,אוֹר
H0217,’ur,אוּר
H0218,’ur,אוּר
H0219,’orah,אוֹרָה
H0220,’awerah,אֲוֵרָה
H0221,’uri,אוּרִי
H0222,’uri’el,אוּרִיאֵל
H0223,"’uriyah, ’uriyahu","אוּרִיָּה, אוּרִיָּהוּ"
H0224,’urim,אוּרִים
H0225,’ut,אוּת
H0226,’ot,אוֹת
H0227,’az,אָז
H0228,"’aza’, ’azah","אֲזָא, אֲזָה"
